ncessch,free_lunch_qualified,reduced_price_lunch_qualified,missing,not_applicable,no_category_codes,n
410000301061,83,8,0,0,91,176
410000301062,34,7,0,0,41,39
410000900062,59,8,0,0,67,NA
410000901592,209,30,0,0,239,320
410000901734,0,0,0,0,0,141
410000901784,37,9,0,0,46,175
410000901808,43,11,0,0,54,112
410001400748,218,47,0,0,265,506
410001400754,55,3,0,0,58,140
410001400761,124,29,0,0,153,114
410001401026,49,11,0,0,60,192
410001500821,319,39,0,0,358,422
410001500831,169,22,0,0,191,464
410001500853,186,36,0,0,222,137
410001501588,26,0,0,0,26,11
410001501859,0,0,0,0,0,46
410001601266,114,42,0,0,156,280
410001601288,74,36,0,0,110,116
410001601730,107,34,0,0,141,590
410001900698,167,53,0,0,220,341
410001900731,105,41,0,0,146,115
410001901422,84,25,0,0,109,320
410002000693,95,18,0,0,113,280
410002000765,59,21,0,0,80,381
410002000833,224,41,0,0,265,208
410002000834,298,57,0,0,355,1131
410002000854,229,61,0,0,290,282
410002101166,68,9,0,0,77,120
410002101167,56,15,0,0,71,101
410002300209,129,23,0,0,152,499
410002301168,126,28,0,0,154,381
410002301169,193,24,0,0,217,394
410002301171,313,29,0,0,342,523
410002301172,326,37,0,0,363,562
410002301173,292,29,0,0,321,468
410002301175,263,28,0,0,291,389
410002301199,191,37,0,0,228,441
410002301200,196,15,0,0,211,312
410002301201,126,29,0,0,155,598
410002301202,348,29,0,0,377,580
410002301203,116,8,0,0,124,259
410002301242,80,15,0,0,95,352
410002301243,77,18,0,0,95,404
410002301248,414,132,0,0,546,711
410002301250,228,69,0,0,297,1433
410002301251,271,58,0,0,329,1416
410002301252,539,122,0,0,661,550
410002301253,300,63,0,0,363,1320
410002301295,112,37,0,0,149,564
410002301300,108,25,0,0,133,505
410002301305,219,29,0,0,248,531
410002301306,425,102,0,0,527,730
410002301322,262,63,0,0,325,1533
410002301373,83,28,0,0,111,605
410002301499,156,31,0,0,187,696
410002301500,88,17,0,0,105,501
410002301535,10,9,0,0,19,NA
410002301585,432,122,0,0,554,651
410002301749,393,38,0,0,431,568
410002301750,202,46,0,0,248,498
410002301759,121,17,0,0,138,509
410002301764,232,36,0,0,268,420
410002301824,0,0,0,0,0,145
410002304174,112,34,0,0,146,576
410004000176,131,49,0,0,180,431
410004000179,47,23,0,0,70,NA
410004300494,149,0,0,0,149,34
410004301404,15,0,0,0,15,NA
410004301406,78,0,0,0,78,21
410004301412,0,0,0,0,0,NA
410004301413,0,0,0,0,0,NA
410004301476,0,0,0,0,0,NA
410004301477,7,0,0,0,7,NA
410004301740,21,0,0,0,21,NA
410004301744,31,0,0,0,31,10
410004700862,61,27,0,0,88,188
410004801151,376,29,0,0,405,433
410004801153,65,26,0,0,91,276
410004801155,234,20,0,0,254,366
410004801156,297,32,0,0,329,457
410004801158,404,44,0,0,448,1165
410004801159,392,44,0,0,436,364
410004801833,37,5,0,0,42,NA
410064000233,214,16,0,0,230,360
410064000234,126,22,0,0,148,155
410099000524,0,0,0,0,0,NA
410102000755,84,37,0,0,121,246
410102000756,36,10,0,0,46,14
410112000017,37,9,0,0,46,436
410112000029,28,7,0,0,35,331
410112000031,18,1,0,0,19,NA
410112000669,86,13,0,0,99,304
410112000670,188,42,0,0,230,308
410112000671,88,18,0,0,106,352
410112000672,145,25,0,0,170,324
410112000673,255,43,0,0,298,369
410112000674,221,39,0,0,260,378
410112000675,70,7,0,0,77,NA
410112000676,206,16,0,0,222,280
410112000680,176,53,0,0,229,485
410112000692,83,21,0,0,104,170
410112000725,91,15,0,0,106,NA
410112000732,267,60,0,0,327,1054
410112000733,240,46,0,0,286,1106
410112000734,187,34,0,0,221,1167
410112000735,198,72,0,0,270,619
410112000736,376,108,0,0,484,583
410112001577,71,12,0,0,83,44
410112001773,185,54,0,0,239,1406
410120000019,84,23,0,0,107,98
410123001260,184,37,0,0,221,376
410123001263,145,29,0,0,174,110
410123001320,91,18,0,0,109,351
410123001653,0,0,0,0,0,NA
410135000753,56,14,0,0,70,104
410147000343,83,27,0,0,110,116
410150000759,0,0,0,0,0,NA
410156000395,90,17,0,0,107,333
410156000397,77,14,0,0,91,354
410156000399,113,6,0,0,119,321
410156000400,165,26,0,0,191,1094
410156000401,257,45,0,0,302,440
410156001654,31,6,0,0,37,55
410159000448,0,0,0,0,0,NA
410162000152,166,40,0,0,206,NA
410162000153,220,45,0,0,265,813
410162000155,186,50,0,0,236,240
410162000156,175,50,0,0,225,823
410166001112,91,16,0,0,107,88
410166001114,113,31,0,0,144,464
410166001115,58,12,0,0,70,87
410171000001,104,22,0,0,126,422
410171000002,260,36,0,0,296,218
410171000007,175,27,0,0,202,678
410171000009,142,34,0,0,176,173
410171000030,50,8,0,0,58,138
410171000034,0,0,0,0,0,NA
410171001516,0,0,0,0,0,NA
410171001767,0,0,0,0,0,1345
410171001783,0,0,0,0,0,105
410174000013,16,6,0,0,22,NA
410180000235,136,22,0,0,158,453
410180000236,126,22,0,0,148,218
410180000237,94,21,0,0,115,67
410183001176,122,19,0,0,141,478
410183001179,72,12,0,0,84,518
410183001180,56,17,0,0,73,170
410192000210,93,17,0,0,110,593
410192000213,106,39,0,0,145,768
410192000220,116,19,0,0,135,42
410192000536,0,0,0,0,0,71
410192000552,259,51,0,0,310,1829
410192000554,564,127,0,0,691,767
410192001204,580,132,0,0,712,1119
410192001205,344,63,0,0,407,615
410192001206,340,79,0,0,419,671
410192001207,72,4,0,0,76,517
410192001210,47,7,0,0,54,413
410192001211,251,44,0,0,295,450
410192001212,80,11,0,0,91,512
410192001213,187,34,0,0,221,435
410192001215,189,45,0,0,234,453
410192001216,154,29,0,0,183,631
410192001217,361,88,0,0,449,739
410192001219,143,30,0,0,173,312
410192001220,328,48,0,0,376,553
410192001222,62,11,0,0,73,338
410192001223,76,16,0,0,92,550
410192001224,217,32,0,0,249,679
410192001225,128,17,0,0,145,376
410192001226,72,14,0,0,86,445
410192001227,91,32,0,0,123,547
410192001229,102,31,0,0,133,378
410192001230,410,91,0,0,501,567
410192001231,36,4,0,0,40,258
410192001232,362,29,0,0,391,430
410192001233,226,45,0,0,271,1907
410192001234,520,121,0,0,641,1942
410192001235,316,57,0,0,373,1594
410192001236,388,90,0,0,478,1635
410192001237,240,49,0,0,289,1598
410192001238,331,73,0,0,404,1292
410192001239,921,239,0,0,1160,886
410192001240,721,127,0,0,848,697
410192001241,351,88,0,0,439,782
410192001262,30,10,0,0,40,831
410192001289,214,30,0,0,244,338
410192001301,134,44,0,0,178,472
410192001321,288,47,0,0,335,618
410192001430,75,15,0,0,90,551
410192001431,134,35,0,0,169,2898
410192001432,425,111,0,0,536,860
410192001445,38,4,0,0,42,242
410192001647,110,44,0,0,154,1044
410192001745,311,78,0,0,389,876
410192001753,58,6,0,0,64,651
410192001779,108,18,0,0,126,1002
410192001791,28,1,0,0,29,283
410192001823,0,0,0,0,0,NA
410192001855,168,32,0,0,200,NA
410192001856,53,14,0,0,67,465
410192011348,72,19,0,0,91,523
410198000245,233,60,0,0,293,582
410198000258,367,35,0,0,402,571
410198000259,142,43,0,0,185,1213
410198000262,250,30,0,0,280,442
410198000263,292,64,0,0,356,1379
410198000264,185,32,0,0,217,559
410198000265,215,61,0,0,276,513
410198000266,193,41,0,0,234,551
410198000268,309,82,0,0,391,1204
410198000270,630,165,0,0,795,287
410198000271,428,127,0,0,555,NA
410198000272,212,66,0,0,278,NA
410198000546,140,31,0,0,171,588
410198000607,22,11,0,0,33,110
410198000688,110,8,0,0,118,33
410198001290,152,59,0,0,211,516
410198001350,170,50,0,0,220,581
410198001436,25,14,0,0,39,284
410198001438,22,11,0,0,33,NA
410198001451,194,67,0,0,261,NA
410198001454,94,29,0,0,123,24
410198001487,44,12,0,0,56,656
410198001488,170,60,0,0,230,666
410198001576,114,38,0,0,152,512
410198001603,135,16,0,0,151,174
410198001747,180,58,0,0,238,572
410198001758,64,15,0,0,79,634
410198001794,156,17,0,0,173,166
410198001839,68,11,0,0,79,1364
410198001844,174,50,0,0,224,408
410198001845,45,15,0,0,60,134
410198001860,0,0,0,0,0,NA
410204000616,147,19,0,0,166,252
410204000617,202,24,0,0,226,274
410204000618,271,39,0,0,310,330
410204000619,111,36,0,0,147,380
410204000620,242,49,0,0,291,441
410204000621,192,50,0,0,242,609
410204000622,180,41,0,0,221,749
410204000623,601,143,0,0,744,544
410204001391,246,70,0,0,316,1014
410204004178,43,8,0,0,51,27
410204004179,349,89,0,0,438,917
410216000641,110,18,0,0,128,250
410219000449,0,0,0,0,0,NA
410231000253,152,28,0,0,180,639
410231000254,358,54,0,0,412,658
410231000255,197,58,0,0,255,244
410249000361,179,60,0,0,239,406
410249000363,58,35,0,0,93,389
410249000379,92,36,0,0,128,49
410249001520,0,0,0,0,0,NA
410258000426,153,30,0,0,183,212
410261000315,124,23,0,0,147,223
410264000100,160,16,0,0,176,537
410264000130,150,19,0,0,169,394
410264000132,117,22,0,0,139,497
410264000135,138,21,0,0,159,583
410264000148,413,42,0,0,455,359
410264000165,251,31,0,0,282,343
410264001651,242,31,0,0,273,972
410264001659,177,19,0,0,196,435
410278000767,283,26,0,0,309,559
410278000835,84,17,0,0,101,295
410278000851,32,12,0,0,44,178
410278000855,203,40,0,0,243,1065
410278000856,213,48,0,0,261,323
410278001854,30,3,0,0,33,14
410280001012,260,29,0,0,289,466
410280001013,541,97,0,0,638,1692
410280001015,349,0,0,0,349,471
410280001016,326,0,0,0,326,400
410280001017,324,78,0,0,402,608
410280001018,462,0,0,0,462,545
410280001019,159,45,0,0,204,509
410280001020,877,181,0,0,1058,791
410280001221,96,8,0,0,104,28
410280001574,229,50,0,0,279,604
410284001054,260,50,0,0,310,446
410284001055,228,28,0,0,256,518
410284001057,374,73,0,0,447,1507
410284001058,391,62,0,0,453,399
410284001461,295,62,0,0,357,573
410291000475,196,19,0,0,215,355
410291000729,155,31,0,0,186,307
410294000402,295,56,0,0,351,524
410294000403,361,37,0,0,398,578
410294000404,183,22,0,0,205,236
410294000405,228,35,0,0,263,524
410294000406,221,13,0,0,234,327
410294000407,126,17,0,0,143,442
410294000408,289,65,0,0,354,1524
410294001720,114,32,0,0,146,189
410294001728,133,22,0,0,155,196
410294001739,191,49,0,0,240,199
410326000173,180,52,0,0,232,340
410326000178,144,27,0,0,171,232
410326500181,237,41,0,0,278,548
410326500184,153,39,0,0,192,342
410326501670,23,4,0,0,27,13
410327000109,66,25,0,0,91,296
410327000110,37,10,0,0,47,105
410327001343,27,14,0,0,41,284
410333000345,19,27,0,0,46,44
410333000346,10,4,0,0,14,NA
410339000200,44,5,0,0,49,NA
410339000202,142,21,0,0,163,321
410339001589,208,35,0,0,243,530
410339001804,176,13,0,0,189,181
410342001729,234,72,0,0,306,1263
410348000032,107,12,0,0,119,431
410348000033,153,26,0,0,179,1114
410348000037,215,49,0,0,264,389
410348000040,76,9,0,0,85,422
410348000042,85,11,0,0,96,328
410348000043,168,46,0,0,214,356
410348000044,110,18,0,0,128,325
410348000045,261,73,0,0,334,1386
410348000046,186,31,0,0,217,476
410348000047,366,84,0,0,450,416
410348000048,207,42,0,0,249,435
410348000570,53,10,0,0,63,347
410348001743,0,0,0,0,0,NA
410354001139,100,13,0,0,113,223
410360000365,33,21,0,0,54,62
410363000378,17,15,0,0,32,NA
410366000204,290,48,0,0,338,291
410366000211,276,32,0,0,308,200
410366000214,246,33,0,0,279,918
410366000215,323,37,0,0,360,784
410366000216,446,91,0,0,537,744
410366001486,55,9,0,0,64,12
410366001602,44,7,0,0,51,30
410366004188,47,22,0,0,69,201
410369000604,257,53,0,0,310,565
410369000605,108,26,0,0,134,521
410369000606,123,26,0,0,149,177
410372000238,268,59,0,0,327,621
410372000241,8,5,0,0,13,NA
410372000242,0,0,0,0,0,124
410372000243,249,45,0,0,294,1141
410372000244,264,54,0,0,318,308
410372001682,48,3,0,0,51,23
410372001840,328,55,0,0,383,662
410372001841,0,0,0,0,0,NA
410378000624,30,16,0,0,46,NA
410378000627,43,5,0,0,48,NA
410384000119,96,19,0,0,115,308
410384000446,160,35,0,0,195,314
410384000447,90,25,0,0,115,99
410386001043,192,33,0,0,225,215
410386001044,146,39,0,0,185,145
410386001045,97,11,0,0,108,157
410386001047,185,44,0,0,229,848
410386001049,256,57,0,0,313,1213
410386001050,261,70,0,0,331,362
410386001835,0,0,0,0,0,NA
410394001025,341,52,0,0,393,438
410394001027,541,107,0,0,648,1558
410394001028,390,86,0,0,476,1370
410394001029,401,66,0,0,467,588
410394001030,357,66,0,0,423,643
410394001031,434,50,0,0,484,624
410394001032,304,56,0,0,360,454
410394001033,358,44,0,0,402,529
410394001035,262,41,0,0,303,434
410394001036,316,57,0,0,373,463
410394001037,1793,377,0,0,2170,1397
410394001676,596,121,0,0,717,1587
410394004180,340,75,0,0,415,437
410394004181,48,15,0,0,63,146
410396000308,101,31,0,0,132,90
410399000228,124,31,0,0,155,441
410399001264,250,40,0,0,290,444
410399001265,177,26,0,0,203,182
410402000358,27,8,0,0,35,NA
410417000367,0,0,0,0,0,NA
410429000372,0,0,0,0,0,NA
410435000316,130,26,0,0,156,307
410435000317,49,3,0,0,52,NA
410438000369,0,0,0,0,0,NA
410441001162,141,40,0,0,181,345
410450000410,242,37,0,0,279,520
410450000413,177,25,0,0,202,351
410450000414,503,62,0,0,565,694
410450000416,162,37,0,0,199,886
410450000417,459,63,0,0,522,473
410450001416,16,1,0,0,17,20
410450001586,114,26,0,0,140,336
410450001587,240,22,0,0,262,668
410450001681,39,0,0,0,39,14
410450001831,76,19,0,0,95,222
410453001089,118,36,0,0,154,297
410459001140,158,54,0,0,212,238
410459001141,74,19,0,0,93,136
410462000322,131,28,0,0,159,266
410470000139,163,37,0,0,200,430
410470000140,167,43,0,0,210,340
410470000142,176,23,0,0,199,590
410470000143,197,40,0,0,237,225
410470001766,0,0,0,0,0,298
410470001778,0,0,0,0,0,58
410474000530,160,40,0,0,200,404
410474000531,206,21,0,0,227,390
410474000533,0,0,0,0,0,NA
410474000537,116,16,0,0,132,429
410474000538,129,22,0,0,151,295
410474000542,193,40,0,0,233,601
410474000544,311,43,0,0,354,459
410474000548,211,25,0,0,236,337
410474000550,234,32,0,0,266,266
410474000553,143,21,0,0,164,285
410474000555,92,15,0,0,107,255
410474000559,212,29,0,0,241,513
410474000561,143,29,0,0,172,1027
410474000562,235,42,0,0,277,605
410474000564,162,34,0,0,196,654
410474000565,186,33,0,0,219,818
410474000566,201,49,0,0,250,947
410474000567,132,16,0,0,148,57
410474000568,134,25,0,0,159,894
410474000569,112,24,0,0,136,624
410474000571,395,106,0,0,501,371
410474000572,353,85,0,0,438,538
410474000573,274,93,0,0,367,467
410474000575,403,129,0,0,532,513
410474000690,69,16,0,0,85,133
410474001344,51,10,0,0,61,332
410474001345,132,20,0,0,152,407
410474001348,0,0,0,0,0,288
410474001359,165,39,0,0,204,210
410474001491,0,0,0,0,0,310
410474001492,77,43,0,0,120,180
410474001593,71,13,0,0,84,64
410474001604,307,27,0,0,334,409
410474001609,285,43,0,0,328,597
410474001737,244,33,0,0,277,628
410474001781,140,34,0,0,174,329
410474001848,0,0,0,0,0,NA
410474001858,0,0,0,0,0,NA
410495000597,109,33,0,0,142,311
410495000599,152,28,0,0,180,351
410495000600,140,39,0,0,179,657
410495000601,139,47,0,0,186,163
410495001595,0,0,0,0,0,54
410502001383,0,0,0,0,0,NA
410508001148,60,31,0,0,91,245
410508001149,38,34,0,0,72,174
410510000643,173,33,0,0,206,646
410510000644,347,48,0,0,395,630
410510000645,213,43,0,0,256,208
410516001182,218,22,0,0,240,238
410516001183,60,6,0,0,66,190
410516001184,273,70,0,0,343,473
410516001186,154,30,0,0,184,390
410516001187,287,50,0,0,337,386
410516001188,417,69,0,0,486,1617
410516001189,770,150,0,0,920,884
410516001339,346,50,0,0,396,1514
410516001578,285,9,0,0,294,307
410516001724,33,10,0,0,43,48
410525001375,30,8,0,0,38,640
410531000370,0,0,0,0,0,NA
410531001756,0,0,0,0,0,NA
410543001247,89,12,0,0,101,272
410543001249,75,9,0,0,84,284
410561000144,269,82,0,0,351,925
410561000145,162,51,0,0,213,880
410561000146,176,71,0,0,247,302
410561001774,61,15,0,0,76,NA
410564000326,135,12,0,0,147,215
410564000327,62,18,0,0,80,21
410567000302,182,36,0,0,218,481
410567000303,42,7,0,0,49,206
410567000305,57,28,0,0,85,88
410576000249,148,54,0,0,202,356
410576000257,74,22,0,0,96,66
410591000457,237,35,0,0,272,516
410591000458,226,22,0,0,248,485
410591000459,284,49,0,0,333,461
410591000460,427,88,0,0,515,1463
410591000461,269,46,0,0,315,475
410591000462,330,28,0,0,358,416
410591000463,332,72,0,0,404,1320
410591000464,798,130,0,0,928,785
410591000970,313,47,0,0,360,449
410600000098,64,20,0,0,84,538
410600000525,351,98,0,0,449,1201
410600000534,326,35,0,0,361,554
410600000988,280,47,0,0,327,1021
410600000989,318,25,0,0,343,406
410600000990,335,80,0,0,415,1528
410600000991,428,37,0,0,465,449
410600000992,371,49,0,0,420,524
410600000993,227,33,0,0,260,453
410600000994,169,13,0,0,182,248
410600000995,99,26,0,0,125,464
410600000996,135,36,0,0,171,909
410600001040,706,171,0,0,877,662
410600001041,468,129,0,0,597,636
410600001303,288,52,0,0,340,395
410600001304,320,41,0,0,361,420
410600001571,0,0,0,0,0,NA
410600001733,30,26,0,0,56,158
410600001757,56,70,0,0,126,117
410600001787,0,0,0,0,0,394
410600004182,387,31,0,0,418,599
410600004183,76,25,0,0,101,45
410612000758,57,15,0,0,72,74
410627001084,33,11,0,0,44,127
410630000677,276,79,0,0,355,1027
410630001093,333,78,0,0,411,490
410630001094,413,56,0,0,469,602
410630001095,395,83,0,0,478,555
410630001096,440,90,0,0,530,1500
410630001097,765,195,0,0,960,792
410630001293,212,48,0,0,260,444
410630001439,302,71,0,0,373,608
410651000382,176,27,0,0,203,445
410651000383,320,83,0,0,403,481
410651000384,136,7,0,0,143,185
410651000386,146,38,0,0,184,491
410651000387,178,43,0,0,221,1011
410651000388,247,40,0,0,287,698
410651000389,43,7,0,0,50,56
410651000390,504,126,0,0,630,626
410660000011,61,10,0,0,71,27
410663001137,63,48,0,0,111,298
410671000769,198,43,0,0,241,388
410671000770,106,47,0,0,153,128
410671001294,99,24,0,0,123,390
410674000451,305,22,0,0,327,412
410674000452,223,20,0,0,243,306
410674000454,627,0,0,0,627,745
410674000456,435,43,0,0,478,270
410674000656,327,28,0,0,355,882
410674001446,0,0,0,0,0,NA
410674001569,222,16,0,0,238,323
410674001852,58,0,0,0,58,36
410675000158,69,11,0,0,80,122
410678000347,120,49,0,0,169,360
410678000349,11,2,0,0,13,NA
410678000350,80,50,0,0,130,252
410682000697,0,0,0,0,0,NA
410682000760,0,0,0,0,0,NA
410682001423,0,0,0,0,0,NA
410687001142,0,0,0,0,0,NA
410687001145,96,13,0,0,109,215
410690000422,45,5,0,0,50,54
410690000465,304,28,0,0,332,300
410690000466,195,19,0,0,214,715
410690000467,220,37,0,0,257,374
410690000468,131,18,0,0,149,286
410690000470,215,44,0,0,259,597
410690000471,210,22,0,0,232,575
410690000472,224,37,0,0,261,377
410690000473,238,27,0,0,265,393
410690000477,41,12,0,0,53,70
410690000479,201,43,0,0,244,248
410690000480,217,33,0,0,250,105
410690000481,189,38,0,0,227,213
410690001797,63,13,0,0,76,104
410690001812,0,0,0,0,0,169
410693000203,42,9,0,0,51,144
410693000630,188,45,0,0,233,375
410693000631,185,50,0,0,235,948
410693000632,163,52,0,0,215,181
410696000747,0,0,0,0,0,NA
410702000492,140,8,0,0,148,148
410702000495,272,35,0,0,307,508
410702000496,11,0,0,0,11,NA
410702000498,219,86,0,0,305,656
410702000499,103,17,0,0,120,203
410702000500,95,10,0,0,105,164
410702000501,100,6,0,0,106,166
410702000502,290,67,0,0,357,676
410702000503,271,45,0,0,316,615
410702000504,245,29,0,0,274,372
410702000505,303,45,0,0,348,734
410702000506,219,31,0,0,250,705
410702000508,111,7,0,0,118,127
410702000510,198,53,0,0,251,298
410702000511,151,10,0,0,161,234
410702000513,382,84,0,0,466,296
410702001464,160,20,0,0,180,243
410702001465,96,5,0,0,101,132
410702001466,141,18,0,0,159,183
410702001467,45,8,0,0,53,67
410702001688,31,8,0,0,39,43
410702001807,37,6,0,0,43,18
410708000483,239,41,0,0,280,374
410708000485,342,18,0,0,360,354
410708000486,181,22,0,0,203,295
410708000487,415,43,0,0,458,1190
410708000489,178,19,0,0,197,356
410708000512,358,31,0,0,389,284
410708001687,119,17,0,0,136,94
410708001847,0,0,0,0,0,38
410720001125,215,38,0,0,253,469
410720001126,209,23,0,0,232,328
410720001127,219,43,0,0,262,987
410720001128,143,17,0,0,160,328
410720001131,205,35,0,0,240,290
410723000060,26,5,0,0,31,290
410723000061,22,7,0,0,29,131
410723000064,53,12,0,0,65,515
410723000066,57,14,0,0,71,1718
410723000067,53,13,0,0,66,1680
410723000068,84,17,0,0,101,478
410723000069,57,18,0,0,75,540
410723001307,26,0,0,0,26,NA
410723001308,21,6,0,0,27,378
410723001378,58,6,0,0,64,589
410728000514,19,1,0,0,20,NA
410728000517,169,28,0,0,197,408
410728000519,88,20,0,0,108,144
410728000689,43,9,0,0,52,201
410738000682,193,20,0,0,213,332
410738000684,205,28,0,0,233,294
410738000696,124,22,0,0,146,408
410738000710,89,21,0,0,110,284
